Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
9.85346E+17,14/04/2018,2:36:52 AM,Eastern Standard Time,amazon,"@irasciBall Ahoy! It looks like you found the treasure, matey!",0,0,1,
9.85345E+17,14/04/2018,2:34:00 AM,Eastern Standard Time,amazon,@BeardlessBear Looks good! <Emoji: Smiling face with smiling eyes>,0,0,1,
9.85345E+17,14/04/2018,2:33:29 AM,Eastern Standard Time,amazon,@Mastah_C We also have the best customers. <Emoji: Smiling face with smiling eyes> Thank you so much for the kind words!,0,0,3,
9.85302E+17,14/04/2018,11:43:00 PM,Eastern Standard Time,amazon,"@big_daddy_black That's no ""missed steak"" <Emoji: Winking face>, those look delicious!",0,0,3,
9.85302E+17,14/04/2018,11:42:28 PM,Eastern Standard Time,amazon,"@KenFL74 Add some paper plates for wheels, and you'll have a drive-in movie! <Emoji: Popcorn><Emoji: Automobile>",0,0,3,
9.85258E+17,14/04/2018,8:46:53 PM,Eastern Standard Time,amazon,"@Lovely_Esmer Does this come in adult size, too? Seriously though, we're happy for Alina! This will be perfect for summer vacation! <Emoji: Star-struck><Emoji: Sun with rays>",0,0,1,
9.85248E+17,14/04/2018,8:06:00 PM,Eastern Standard Time,amazon,@bonnevivante It's a good thing you're not a vegetarian because that would be a huge missed steak.,1,0,4,
9.84975E+17,13/04/2018,2:00:26 AM,Eastern Standard Time,amazon,@iamoliviag0ld Giiiiirrrlll! We got what you need! <Emoji: Avocado><Emoji: Tomato><Emoji: Cherries>,0,1,20,
9.84954E+17,13/04/2018,12:38:57 AM,Eastern Standard Time,amazon,@nlu85 Next up: Singing! <Emoji: Multiple musical notes> <Emoji: Baby>,0,0,3,
9.84824E+17,13/04/2018,4:03:37 PM,Eastern Standard Time,amazon,Kirt left a tedious career to build a clothing brand that's about quality not logos. Become an entrepreneur on Amazon:  http://amzn.to/stories  pic.twitter.com/vfJO3BLdcS,28,19,63,
9.84549E+17,12/04/2018,9:50:57 PM,Eastern Standard Time,amazon,"@bjscott13 Thanks for the feedback, Brian! We're glad you like the layout!  <Emoji: Smiling face with smiling eyes>",0,0,1,
9.84507E+17,12/04/2018,7:03:44 PM,Eastern Standard Time,amazon,"The top characteristics shared by effective leaders might surprise you, as @amyjccuddy explains. More #DayOneInsights for entrepreneurs:  http://amzn.to/insights-amycuddy … pic.twitter.com/inhh4o67Ut",15,26,69,#DayOneInsights
9.84246E+17,11/04/2018,1:44:00 AM,Eastern Standard Time,amazon,"@susarrant Is this your dad's way of saying ""Kale me maybe?"" <Emoji: Green salad><Emoji: Telephone receiver><Emoji: Face with tears of joy>",0,0,4,
9.84205E+17,11/04/2018,11:03:43 PM,Eastern Standard Time,amazon,"""Self-employed"" means lounging by the pool, right? Kirt learns the true (and better) story. Become an entrepreneur on Amazon:  http://amzn.to/stories  pic.twitter.com/G8wVWSyKBk",21,18,87,
9.83821E+17,10/04/2018,9:38:00 PM,Eastern Standard Time,amazon,"@Sarah_Legit That's wonderful, Sarah! Please let us know if you need anything. We're always here and happy to help!",1,0,4,
9.83801E+17,10/04/2018,8:16:28 PM,Eastern Standard Time,amazon,"@Informichael Well, to be fair, we do have the best customers! Thank you for being one of them!",0,0,1,
9.83786E+17,10/04/2018,7:16:00 PM,Eastern Standard Time,amazon,@Sailor_Samara Too cute! The purrfect reaction! <Emoji: Smiling cat face with heart-shaped eyes>,0,0,1,
9.83782E+17,10/04/2018,7:01:38 PM,Eastern Standard Time,amazon,Public speaking nerves? Here are a few tips from @amyjccuddy on besting presentation anxiety. More #DayOneInsights for entrepreneurs:  http://amzn.to/insights-amycuddy … pic.twitter.com/PAWLm7JOss,26,34,81,#DayOneInsights
9.83744E+17,10/04/2018,4:30:18 PM,Eastern Standard Time,amazon,@SakibArain It's cereal-sly the best! <Emoji: Grinning face><Emoji: Grinning face>,0,0,3,
9.83739E+17,10/04/2018,4:09:00 PM,Eastern Standard Time,amazon,@ICameAllOver There must be a plan for camping in the works! Are you going some place new? Or are you going to a camping favorite of yours? <Emoji: Camping>,2,0,3,
9.83439E+17,09/04/2018,8:19:54 PM,Eastern Standard Time,amazon,"@JinBeautiful Glad we could help make your life easier! We'd like to help make up for the missing 12%. Enjoy a free movie on us! When you have a chance, send us your details here:  http://amzn.to/2IDYWwq  <Emoji: Sparkling heart><Emoji: Sparkling heart><Emoji: Sparkling heart>",1,0,3,
9.82379E+17,06/04/2018,10:06:27 PM,Eastern Standard Time,amazon,@JessssicaAnnnn We haven't forgotten about how much we love having you as a valuable customer!,4,0,4,
9.82367E+17,06/04/2018,9:17:00 PM,Eastern Standard Time,amazon,@PebblesPuss2014 Something tells us you were NOT amused! <Emoji: Grinning cat face with smiling eyes>,1,0,1,
9.82333E+17,06/04/2018,7:02:30 PM,Eastern Standard Time,amazon,"Ryan grew up in Hawaii, selling online for fun. His childhood hobby turned into a career building brands on Amazon. Become an entrepreneur:  http://amzn.to/stories  pic.twitter.com/xyA5APvak4",48,25,91,
9.82289E+17,06/04/2018,4:09:02 PM,Eastern Standard Time,amazon,"Now, both EBT and Medicaid cardholders qualify for a discounted Prime membership which gives you fast, free shipping on over 50 million items, access to Prime Video, Prime Music and more:  http://amzn.to/2q81Vqh  pic.twitter.com/I7t3MSYeTS",55,122,266,
9.82048E+17,05/04/2018,12:11:00 AM,Eastern Standard Time,amazon,@AubreyCullins Thanks for sharing your experience. We appreciate your kind words!,0,0,4,
9.82033E+17,05/04/2018,11:12:27 PM,Eastern Standard Time,amazon,@CouchCouch2000 Very cool! <Emoji: Smiling face with heart-shaped eyes> Fantastic to hear you found just what you wanted. Thanks for sharing!,1,0,1,
9.82016E+17,05/04/2018,10:04:05 PM,Eastern Standard Time,amazon,Want more innovative ideas? Get a hobby. @AdamMGrant explains why fortune favors the curious. More #DayOneInsights for entrepreneurs:  http://amzn.to/insights-adamgrant … pic.twitter.com/1Q4ROe7T2P,12,25,66,#DayOneInsights
9.81996E+17,05/04/2018,8:43:00 PM,Eastern Standard Time,amazon,@jmznvs Now that's a fresh idea. <Emoji: Winking face>,0,0,4,
9.81995E+17,05/04/2018,8:42:00 PM,Eastern Standard Time,amazon,"@FergusonTutor Thanks for stopping by the Treasure Truck! We're going to try a salmon pun, but we'll leave it up to salmon-else. <Emoji: Winking face>",1,0,4,
9.81957E+17,05/04/2018,6:08:27 PM,Eastern Standard Time,amazon,"@RoseTylerDawson Breath Busters pair well with the Norwegian salmon. Remember to let it breathe after opening, it releases the tannins.",0,0,1,
9.81789E+17,05/04/2018,7:03:00 AM,Eastern Standard Time,amazon,@carnabyxpuddles Nothing wrong with Christmas all year long! <Emoji: Christmas tree> Just don't tell Santa - we wouldn't want him to get jealous! <Emoji: Winking face>,0,1,2,
9.81789E+17,05/04/2018,7:01:00 AM,Eastern Standard Time,amazon,"@emi_spicher We love you too, Margaret! <Emoji: Two hearts>",0,0,2,
9.81707E+17,04/04/2018,1:34:27 AM,Eastern Standard Time,amazon,"Rockin', rollin', swaggin' to the max!",0,2,2,
9.81668E+17,04/04/2018,11:02:30 PM,Eastern Standard Time,amazon,Selling sports cards and hula dolls as a kid launched this entrepreneur on his ecommerce journey. Become an entrepreneur on Amazon:  http://amzn.to/stories  pic.twitter.com/hCaTZuIqLO,12,16,64,
9.8161E+17,04/04/2018,7:12:00 PM,Eastern Standard Time,amazon,"@willhelmmmm OH! A book! We thought you said Adorable Dog. Whoops! If you'd like to start a return, you can do so by visiting us here:  http://amzn.to/2q5smN5 ",1,1,4,
9.81528E+17,04/04/2018,1:45:57 PM,Eastern Standard Time,amazon,Meet Amazonian Michael Forzano – a software engineer who started as an intern in 2012 and has been innovating on behalf of our customers ever since! For more about Michael and for an extended version of the video with audio descriptions:  https://amzn.to/forzano  pic.twitter.com/1kho9A3Cl0,28,79,295,
9.81291E+17,03/04/2018,10:04:21 PM,Eastern Standard Time,amazon,Brainstorming is broken. @AdamMGrant has a better idea to help you generate better ideas. More insights for entrepreneurs:  http://amzn.to/insights-adamgrant … pic.twitter.com/0OfgSoTXdt,35,50,129,
9.81213E+17,03/04/2018,4:51:24 PM,Eastern Standard Time,amazon,@Wheresthetime Night Of The Two-Stepping Dead <Emoji: Face with tears of joy>,0,0,6,
9.80962E+17,02/04/2018,12:15:53 AM,Eastern Standard Time,amazon,@AshsStash There has to be a story behind this purchase! Are these items going to be used at the same event? <Emoji: Smiling face with open mouth and tightly-closed eyes><Emoji: Smiling face with smiling eyes>,0,0,6,
9.80945E+17,02/04/2018,11:06:53 PM,Eastern Standard Time,amazon,@lildaby Thanks for stopping by! <Emoji: Smiling face with smiling eyes>,0,1,1,
9.80945E+17,02/04/2018,11:06:25 PM,Eastern Standard Time,amazon,@MookieFly Thanks for sharing your experience. Your kind words mean so much!,1,0,1,
9.80941E+17,02/04/2018,10:53:26 PM,Eastern Standard Time,amazon,@conniewang_ We're thrilled that you're enjoying music through Amazon! Are you listening via Alexa or another device?  <Emoji: Multiple musical notes><Emoji: Multiple musical notes>,2,1,5,
9.80923E+17,02/04/2018,9:41:00 PM,Eastern Standard Time,amazon,@heidyf_ We recommend opening a window every now and again to get some direct sunlight. <Emoji: Sun with rays>,2,0,1,
9.80908E+17,02/04/2018,8:39:27 PM,Eastern Standard Time,amazon,@MirandaMaciel12 Hey! We're glad you had a great experience with us!,0,0,4,
9.80618E+17,01/04/2018,1:29:25 AM,Eastern Standard Time,amazon,@katiemathewson Now that's what we call a special delivery!,1,0,1,
9.80611E+17,01/04/2018,1:02:25 AM,Eastern Standard Time,amazon,@katiemathewson Mila is amazing! That kitty is perfect and her expression is expectant! How many boxes does she need to complete her project?  <Emoji: Cat> <Emoji: Package>,1,0,6,
9.80553E+17,01/04/2018,9:11:03 PM,Eastern Standard Time,amazon,@princesskhym Thank you for the kind words and you're very welcome! We hop to see you again soon. <Emoji: Rabbit face><Emoji: Carrot>,0,1,2,
9.80553E+17,01/04/2018,9:10:28 PM,Eastern Standard Time,amazon,@Only1JayLight Thanks for the shout out! <Emoji: Grinning face>,0,0,1,
9.80553E+17,01/04/2018,9:09:30 PM,Eastern Standard Time,amazon,@MelinaD56487775 That made us smile! pic.twitter.com/jCZInqNc6v,0,2,10,
9.80536E+17,01/04/2018,8:04:29 PM,Eastern Standard Time,amazon,@iKoniKModz We all know how important it is to keep your phone looking fresh and protected!,0,1,2,
9.80528E+17,01/04/2018,7:32:52 PM,Eastern Standard Time,amazon,@kaitlynnnmariee Enjoy! Life's so much easier when the only thing you have to take care of is your Tamagotchi!,2,0,5,
9.80307E+17,31/03/2018,4:51:58 AM,Eastern Standard Time,amazon,@fave Oh man! Those pictures are paw-sitively grrrrrreat! <Emoji: Paw prints>,1,0,3,
9.80279E+17,31/03/2018,3:00:00 AM,Eastern Standard Time,amazon,"@Geny_VSmodel In the name of the moon, we are delighted for you! We hope you enjoy!",0,0,1,
9.80278E+17,31/03/2018,2:58:30 AM,Eastern Standard Time,amazon,@fave Leroy Jainkins! He sounds like a real go-getter! Do you have any pictures of this little gem?,1,0,1,
9.80201E+17,31/03/2018,9:53:26 PM,Eastern Standard Time,amazon,@TheJoshKerwin Congratulations on your new arrival! The force is strong with this one.,0,0,2,
9.80201E+17,31/03/2018,9:52:49 PM,Eastern Standard Time,amazon,@ReneDufresne Enjoy! And the award for dad of the year goes to....,0,0,0,
9.80185E+17,31/03/2018,8:48:34 PM,Eastern Standard Time,amazon,@joedawg49 Pew pew!,1,0,0,
9.79893E+17,30/03/2018,1:27:31 AM,Eastern Standard Time,amazon,@IMJUDYBEEHOE We love you like bees love flowers! <Emoji: Heavy red heart><Emoji: Cherry blossom><Emoji: Sunflower><Emoji: Honeybee>,0,0,2,
9.79892E+17,30/03/2018,1:23:00 AM,Eastern Standard Time,amazon,@LindsayLiles Congrats on your little bundle of joy! <Emoji: Baby>,0,0,0,
9.79873E+17,30/03/2018,12:10:00 AM,Eastern Standard Time,amazon,"@Rubay_bay20 We love you too, Ruby! <Emoji: Smiling face with heart-shaped eyes> Enjoy your new hoops!",0,0,5,
9.79869E+17,30/03/2018,11:53:27 PM,Eastern Standard Time,amazon,"@preslarmv Now this...this is a sweet deal! I guess you could say ""Nothing Else Matters"" when it compares to your collection! Yeah, we went there. It's ""Sad But True."" <Emoji: Guitar><Emoji: Rolling on the floor laughing>",1,0,0,
9.79824E+17,30/03/2018,8:53:27 PM,Eastern Standard Time,amazon,@emily_bee We think you're the best too!  <Emoji: Grinning face with smiling eyes><Emoji: Heavy red heart>,1,0,5,
9.79823E+17,30/03/2018,8:51:29 PM,Eastern Standard Time,amazon,@0215MADman Did someone say 'movie night'?! <Emoji: Popcorn> <Emoji: Film frames> <Emoji: Grinning face with smiling eyes>,1,0,0,
9.79795E+17,30/03/2018,6:59:34 PM,Eastern Standard Time,amazon,New mom? Need a creative outlet? Take a page from Sherri's book of happiness.  http://amzn.to/stories  pic.twitter.com/QMD7SZ6SRm,84,22,110,
9.7979E+17,30/03/2018,6:40:31 PM,Eastern Standard Time,amazon,@javierbeltra3 Praise the Sun! <Emoji: Sun with face> We love when you order from our marketplace too; it really 'Kindles' our bonfires! <Emoji: Blue heart>,0,1,1,
9.79555E+17,29/03/2018,3:06:29 AM,Eastern Standard Time,amazon,@natalieswan1223 We whaley love you too! <Emoji: Whale><Emoji: Heavy red heart>,0,0,0,
9.79555E+17,29/03/2018,3:05:31 AM,Eastern Standard Time,amazon,@gobinathm Picture perfect! <Emoji: Clapping hands sign><Emoji: Package><Emoji: Door>,1,0,1,
9.79547E+17,29/03/2018,2:31:28 AM,Eastern Standard Time,amazon,@CorieHaynes We could be swole mates! pic.twitter.com/4JMYzu7u4m,0,4,6,
9.79514E+17,29/03/2018,12:20:37 AM,Eastern Standard Time,amazon,@lovexofrankie Happy customer's make us happy! <Emoji: Grinning face with smiling eyes>,0,0,3,
9.7951E+17,29/03/2018,12:04:00 AM,Eastern Standard Time,amazon,@Formula4HR <Emoji: Winking face><Emoji: Winking face><Emoji: Winking face>,0,0,0,
9.79493E+17,29/03/2018,10:59:07 PM,Eastern Standard Time,amazon,Giving feedback is critical for leadership success. Are you doing it right? #DayOneInsights from @kimballscott  http://amzn.to/insights-kimscott … pic.twitter.com/AsETIpmUNg,61,53,133,#DayOneInsights
9.79487E+17,29/03/2018,10:36:00 PM,Eastern Standard Time,amazon,"@Formula4HR Girl, we gotchu!  http://amzn.to/2IduHw8  <Emoji: Smiling face with sunglasses><Emoji: Couple with heart>",1,0,1,
9.79486E+17,29/03/2018,10:29:32 PM,Eastern Standard Time,amazon,"@amaymayc After extensive research, the meow-gistics showed it would end up in a cat-astrophic failure. <Emoji: Crying cat face><Emoji: Cat face>",0,1,3,
9.79476E+17,29/03/2018,9:50:00 PM,Eastern Standard Time,amazon,<Emoji: Grinning face><Emoji: Thumbs up sign>,0,0,0,
9.7942E+17,29/03/2018,6:10:00 PM,Eastern Standard Time,amazon,"@smashmouth Aww thanks, but you're the real All Star! <Emoji: Grinning face with smiling eyes><Emoji: Medium star><Emoji: Shooting star>",2,1,9,
9.79389E+17,29/03/2018,4:05:12 PM,Eastern Standard Time,amazon,@TheKathyBray We think he deserves the Best Husband Award!! <Emoji: Grinning face with smiling eyes> <Emoji: Clapping hands sign> We also hope you feel better! <Emoji: Smiling face with smiling eyes>,0,0,1,
9.79206E+17,28/03/2018,3:56:27 AM,Eastern Standard Time,amazon,"@corinalaurenn Thanks so much for your kind words, Corina! It's so great to hear!  <Emoji: Grinning face>",1,1,6,
9.79131E+17,28/03/2018,10:59:32 PM,Eastern Standard Time,amazon,An ambitious young mother looking for a creative outlet discovers ecommerce. Become an entrepreneur on Amazon:  http://amzn.to/stories  pic.twitter.com/lsUyIa3bqX,48,24,95,
9.79098E+17,28/03/2018,8:48:27 PM,Eastern Standard Time,amazon,@CrazySciTeach Did somebody say McGuyver?,0,0,4,
9.79097E+17,28/03/2018,8:45:02 PM,Eastern Standard Time,amazon,@_The_King <Emoji: Face with tears of joy> What GIF would you use after that delivery arrives?,1,0,0,
9.78805E+17,27/03/2018,1:23:26 AM,Eastern Standard Time,amazon,@katiejwriter Better late than never!,0,0,1,
9.78787E+17,27/03/2018,12:12:00 AM,Eastern Standard Time,amazon,@DAPHYA How cool! Please post a pic when the aquarium is set up! We'd love to see it! <Emoji: Tropical fish><Emoji: Tropical fish><Emoji: Tropical fish><Emoji: Tropical fish><Emoji: Tropical fish>,0,0,2,
9.78768E+17,27/03/2018,10:58:58 PM,Eastern Standard Time,amazon,The Radical Candor framework will change the way you lead and communicate. More #DayOneInsights for entrepreneurs from @kimballscott:  http://amzn.to/insights-kimscott … pic.twitter.com/ZwAgyucOmu,17,33,102,#DayOneInsights
9.78768E+17,27/03/2018,10:57:00 PM,Eastern Standard Time,amazon,"@rjwakeman That's something we would LOVE to be able to deliver! Alas, it is not to be. However, we're happy to help with many other tangible items.  <Emoji: Smiling face with open mouth>",1,0,2,
9.78466E+17,26/03/2018,2:58:27 AM,Eastern Standard Time,amazon,@cesarepm <Emoji: Fearful face><Emoji: Fearful face><Emoji: Fearful face>,0,0,2,
9.78445E+17,26/03/2018,1:35:00 AM,Eastern Standard Time,amazon,@TheSchoolgan <Emoji: Pirate flag> You should ask Alexa to sing you a pirate song! <Emoji: Pirate flag> #AlexaSings,1,1,1,#AlexaSings
9.78422E+17,26/03/2018,12:04:00 AM,Eastern Standard Time,amazon,"@Jakstalgia Thanks for sharing this, Jak! We're so happy your item was returned to you.  <Emoji: Smiling face with smiling eyes> <Emoji: Key>",0,0,6,
9.7838E+17,26/03/2018,9:16:00 PM,Eastern Standard Time,amazon,@alexandrajaid Thanks for the kind words! We hope you have an amazing rest of your week. <Emoji: Grinning face>,0,0,1,
9.7838E+17,26/03/2018,9:15:00 PM,Eastern Standard Time,amazon,"@hoozayla <Emoji: Smiling face with heart-shaped eyes> Awww, shucks! We think you're pretty nifty, too. <Emoji: Smiling face with heart-shaped eyes>",0,1,3,
9.78326E+17,26/03/2018,5:41:31 PM,Eastern Standard Time,amazon,"@blakmag42 Aye, we love you too!  <Emoji: Right-facing fist> <Emoji: Left-facing fist>",0,0,0,
9.78076E+17,25/03/2018,1:06:25 AM,Eastern Standard Time,amazon,@UmbrellasTV Thanks for the sweet shout out! <Emoji: Chocolate bar><Emoji: Candy><Emoji: Grinning face with smiling eyes>,1,0,1,
9.78028E+17,25/03/2018,9:57:55 PM,Eastern Standard Time,amazon,@_dleonard <Emoji: Rooster> They can be vicious! Glad he didn't chicken out! That would've been a serious party fowl! <Emoji: Rooster>,0,1,4,
9.78027E+17,25/03/2018,9:51:40 PM,Eastern Standard Time,amazon,@narratorofbooks <Emoji: Clapping hands sign><Emoji: Clapping hands sign><Emoji: Clapping hands sign> We think our customers are pretty amazing! <Emoji: Books><Emoji: Books><Emoji: Books>,1,1,3,
9.78009E+17,25/03/2018,8:41:30 PM,Eastern Standard Time,amazon,"@Kelso1123 Haha! Or when you go to highlight a good quote, and just tap the page. It happens to the best of us!",0,0,1,
9.78009E+17,25/03/2018,8:41:03 PM,Eastern Standard Time,amazon,@Veronica_An_ They grow up so fast! <Emoji: Loudly crying face>,0,0,0,
9.78009E+17,25/03/2018,8:40:55 PM,Eastern Standard Time,amazon,"@sawyer_lei We were going to try a pizza joke here, but it was too cheesy! pic.twitter.com/5ELv4nOT0R",1,2,6,
9.7796E+17,25/03/2018,5:26:28 PM,Eastern Standard Time,amazon,@howaboutvodka I'm glad to hear that your order arrived earlier than expected! Enjoy!,0,0,1,
9.7774E+17,24/03/2018,2:51:00 AM,Eastern Standard Time,amazon,@ItsOnMyList_ Lazy? Do you mean savvy? <Emoji: Shopping bags><Emoji: Winking face>,0,0,1,
9.77707E+17,24/03/2018,12:42:32 AM,Eastern Standard Time,amazon,@AsToldByGinga15 We've all been there! Congratulations on your little one! <Emoji: Baby>,0,1,1,
9.77632E+17,24/03/2018,7:44:00 PM,Eastern Standard Time,amazon,@riffeh Adulting at its finest! <Emoji: Person raising both hands in celebration><Emoji: Winking face>,1,0,1,
9.77389E+17,23/03/2018,3:38:00 AM,Eastern Standard Time,amazon,"@MaF0x Hey, that sounds pretty logical to us! Gotta commit, right?<Emoji: Smiling face with open mouth and cold sweat>",0,0,0,
9.77389E+17,23/03/2018,3:37:00 AM,Eastern Standard Time,amazon,"@nickikim07 What a coincidence because we love you, too! <Emoji: Heavy red heart><Emoji: Heavy red heart>",0,0,0,
9.77346E+17,23/03/2018,12:46:33 AM,Eastern Standard Time,amazon,@chaoswolf1982 Looks like it's time to start planning a campaign! <Emoji: Game die><Emoji: Dragon><Emoji: Crossed swords><Emoji: Bow and arrow>,0,0,0,
9.77345E+17,23/03/2018,12:43:00 AM,Eastern Standard Time,amazon,@ScottiMiles Best Fri-yay ever! <Emoji: Party popper>,0,0,1,
9.77345E+17,23/03/2018,12:42:27 AM,Eastern Standard Time,amazon,"@jennytheridds It's a beautiful day in this neighborhood, a beautiful day for a neighbor, would you be ours? <Emoji: Musical note> <Emoji: Sun with rays>",0,0,1,
9.77319E+17,23/03/2018,10:59:04 PM,Eastern Standard Time,amazon,This fashionista started a business that supports her community and thrives online. Become an entrepreneur on Amazon:  http://amzn.to/stories  pic.twitter.com/iBjLWwsQYh,43,26,89,
9.76968E+17,22/03/2018,11:46:26 PM,Eastern Standard Time,amazon,@javalotta What fun! Such an adorable stunt kitty you have there. <Emoji: Paw prints><Emoji: Paw prints> What other hi-jinx does this one like to get into?,1,0,0,
9.76944E+17,22/03/2018,10:10:00 PM,Eastern Standard Time,amazon,@javalotta This is the most purr-fect kitty! That box was made for playtime!  <Emoji: Smiling cat face with open mouth> <Emoji: Package>,1,0,3,
9.76923E+17,22/03/2018,8:48:00 PM,Eastern Standard Time,amazon,"@pragdave We may not have flying cars yet, but we can definitely dream! Right, Dave? Got us feeling nostalgic over here.",0,0,4,
9.76836E+17,22/03/2018,3:01:29 PM,Eastern Standard Time,amazon,"Just about anything is possible with (the right kind of) practice. Even playing a violin concerto on a single string, as Professor Anders Ericsson explains. More #DayOneInsights for entrepreneurs:  http://amzn.to/dayoneinsights  pic.twitter.com/FQPstW31Ja",18,22,67,#DayOneInsights
9.76792E+17,22/03/2018,12:04:01 PM,Eastern Standard Time,amazon,"We love our customers! Today as a thank you for voting us #1 in both the @HarrisPoll corporate reputation survey & the American Customer Satisfaction Report, we’re taking 20% or more off select Alexa-enabled devices in the US  http://amzn.to/2GdTh2A  pic.twitter.com/fEjZGTmJM8",49,38,122,#1
9.76662E+17,21/03/2018,3:28:05 AM,Eastern Standard Time,amazon,"@TbakeTech We're happy you are enjoying your Amazon Fire TV, Tom! Have you had a chance to try these Alexa features here:  http://amzn.to/2GbMIxr  ?",0,0,0,
